,Date,Country,Activity
200,2016,USA,Water sports
201,2016,USA,Water sports
202,2016,AUSTRALIA,Water sports
203,2016,USA,Water sports
204,2016,AUSTRALIA,Water sports
205,2016,USA,Water sports
206,2016,MEXICO,Water sports
207,2016,AUSTRALIA,Water sports
208,2016,USA,Water sports
209,2016,USA,Water sports
210,2016,USA,Water sports
211,2016,AUSTRALIA,Water sports
212,2016,USA,Water sports
213,2016,USA,Water sports
214,2016,USA,Water sports
215,2016,USA,Water sports
216,2016,AUSTRALIA,Water sports
217,2016,AUSTRALIA,Water sports
218,2016,AUSTRALIA,Others
219,2016,USA,Others
220,2016,USA,Water sports
221,2016,NEW CALEDONIA,Water sports
222,2016,USA,Water sports
223,2016,AUSTRALIA,Water sports
224,2016,USA,Water sports
225,2016,USA,Others
226,2016,MEXICO,Water sports
227,2016,USA,Water sports
228,2016,USA,Water sports
229,2016,REUNION,Water sports
230,2016,USA,Others
231,2016,BAHAMAS,Water sports
232,2016,USA,Water sports
233,2016,USA,Water sports
234,2016,SPAIN,Water sports
235,2016,CHINA,Water sports
236,2016,AUSTRALIA,Water sports
237,2016,USA,Others
238,2016,AUSTRALIA,Water sports
239,2016,JAPAN,Water sports
240,2016,AUSTRALIA,Water sports
241,2016,BAHAMAS,Others
242,2016,AUSTRALIA,Others
243,2016,USA,Others
244,2016,USA,Water sports
245,2016,USA,Others
246,2016,USA,Water sports
247,2016,USA,Water sports
248,2016,BAHAMAS,Water sports
249,2016,SPAIN,Others
250,2016,USA,Others
251,2016,USA,Others
252,2016,USA,Others
253,2016,USA,Water sports
254,2016,AUSTRALIA,Others
255,2016,USA,Others
256,2016,USA,Water sports
257,2016,COLUMBIA,Water sports
258,2016,SOUTH AFRICA,Others
259,2016,USA,Others
260,2016,USA,Others
261,2016,USA,Water sports
262,2016,AUSTRALIA,Others
263,2016,USA,Others
264,2016,USA,Others
265,2016,USA,Water sports
266,2016,USA,Water sports
267,2016,AUSTRALIA,Water sports
268,2016,EGYPT,Water sports
269,2016,AUSTRALIA,Others
270,2016,NEW CALEDONIA,Water sports
271,2016,AUSTRALIA,Water sports
272,2016,USA,Water sports
273,2016,USA,Water sports
274,2016,USA,Water sports
275,2016,USA,Water sports
276,2016,USA,Water sports
277,2016,USA,Water sports
278,2016,USA,Others
279,2016,USA,Others
280,2016,NEW ZEALAND,Others
281,2016,INDONESIA,Water sports
282,2016,USA,Water sports
283,2016,SOUTH AFRICA,Water sports
284,2016,AUSTRALIA,Water sports
285,2016,FRENCH POLYNESIA,Others
286,2016,FRENCH POLYNESIA,Others
287,2016,USA,Others
288,2016,NEW CALEDONIA,Others
289,2016,CAPE VERDE,Others
290,2016,USA,Others
291,2016,USA,Others
292,2016,USA,Water sports
293,2016,AUSTRALIA,Water sports
294,2016,USA,Others
295,2016,AUSTRALIA,Water sports
296,2016,BAHAMAS,Others
297,2016,USA,Water sports
298,2016,USA,Water sports
299,2016,Fiji,Water sports
300,2016,USA,Others
301,2016,AUSTRALIA,Others
302,2016,BRAZIL,Water sports
303,2016,NEW CALEDONIA,Water sports
304,2016,NEW CALEDONIA,Others
305,2016,DOMINICAN REPUBLIC,Others
306,2016,CAYMAN ISLANDS,Others
307,2016,AUSTRALIA,Water sports
308,2016,AUSTRALIA,Others
309,2016,AUSTRALIA,Water sports
310,2016,BRAZIL,Water sports
311,2016,SOUTH AFRICA,Water sports
312,2016,USA,Water sports
313,2016,USA,Water sports
314,2016,USA,Others
315,2016,UNITED ARAB EMIRATES,Others
316,2016,USA,Water sports
317,2016,AUSTRALIA,Water sports
318,2016,AUSTRALIA,Others
319,2016,AUSTRALIA,Others
320,2015,SOUTH AFRICA,Water sports
321,2015,SPAIN,Water sports
322,2015,USA,Water sports
323,2015,AUSTRALIA,Water sports
324,2015,BRAZIL,Water sports
325,2015,ARUBA,Others
326,2015,AUSTRALIA,Others
327,2015,BAHAMAS,Others
328,2015,SOUTH AFRICA,Water sports
329,2015,ECUADOR,Water sports
330,2015,USA,Water sports
331,2015,USA,Water sports
332,2015,USA,Water sports
333,2015,AUSTRALIA,Water sports
334,2015,USA,Water sports
335,2015,USA,Water sports
336,2015,USA,Others
337,2015,MOZAMBIQUE,Others
338,2015,AUSTRALIA,Others
339,2015,USA,Water sports
340,2015,SOUTH AFRICA,Water sports
341,2015,USA,Water sports
342,2015,USA,Water sports
343,2015,MOZAMBIQUE,Others
344,2015,USA,Water sports
345,2015,USA,Water sports
346,2015,USA,Water sports
347,2015,USA,Water sports
348,2015,USA,Water sports
349,2015,MOZAMBIQUE,Others
350,2015,AUSTRALIA,Water sports
351,2015,USA,Water sports
352,2015,USA,Others
353,2015,USA,Water sports
354,2015,USA,Water sports
355,2015,AUSTRALIA,Water sports
356,2015,USA,Water sports
357,2015,USA,Water sports
358,2015,USA,Others
359,2015,USA,Others
360,2015,USA,Others
361,2015,USA,Water sports
362,2015,USA,Water sports
363,2015,USA,Water sports
364,2015,AUSTRALIA,Water sports
365,2015,USA,Water sports
366,2015,USA,Water sports
367,2015,AUSTRALIA,Water sports
368,2015,USA,Others
369,2015,THAILAND,Others
370,2015,FIJI,Others
371,2015,USA,Water sports
372,2015,USA,Water sports
373,2015,USA,Others
374,2015,AUSTRALIA,Water sports
375,2015,USA,Water sports
376,2015,USA,Others
377,2015,USA,Water sports
378,2015,SPAIN,Water sports
379,2015,USA,Others
380,2015,AUSTRALIA,Water sports
381,2015,COSTA RICA,Water sports
382,2015,AUSTRALIA,Water sports
383,2015,USA,Water sports
384,2015,USA,Others
385,2015,AUSTRALIA,Water sports
